TABLE,COLUMN,TITLE,TYPE,LENGTH,ATTRIBUT,DOMTAB,DOMCOL,MEANTAB,MEANCOL,INITVAL,FORMULA,MISSING,MESSAGE
OUTLIER_DETECTION,H,H value with default (3*n + p + 1)/4,N,8, , , , , , , ,.,.
OUTLIER_DETECTION,CUTOFFALPHA,Cut-off Alpha value with default 0.025,N,8, , , , , ,0.025, ,.,.
OUTLIER_DETECTION,MCDALPHA,MCD Alpha value with default 0.025,N,8, , , , , ,0.025, ,.,.
BIAS_CORRECTION,BIAS_CORRECTION_ID,Bias correction ID,C,8,P, , , , , , , ,.
BIAS_CORRECTION,BIAS_TITLE,Bias correction title,C,80, , , , , , , , ,.
BIAS_CORRECTION,SID,Sequential number ,C,8,P, , , , , , , ,.
BIAS_CORRECTION,VAR_NAME,Name of the dataset variable,C,32, , , , , , , , ,.
BIAS_CORRECTION,METRIC,Metric: M(ean) M(e)D(ian),C,8, , , , , ,MEDIAN, , ,.
BIAS_CORRECTION,BTS_ID,Reference to the Bootstrap table,C,8, , , , , , , , ,.
BOOTSTRAP,BTS_ID,Bootstrap ID,C,8,P, , , , , , , ,.
BOOTSTRAP,BTS_TITLE,Bootstrap title,C,8, , , , , , , , ,.
BOOTSTRAP,RESAMPLE_SIZE_PCT,Percent of sample for m-out-of-n bootstrap,N,8, , , , , , , ,.,.
BOOTSTRAP,REPLICATIONS,Number of subsamples to be created,N,8, , , , , , , ,.,.
BOOTSTRAP,DISTRIBUTION,Name of the distribution for random sample selection,C,1, , , , , ,U, , ,.
BOOTSTRAP,STRATA_VAR,Name of a variable that defines strata,C,32, , , , , , , , ,.
OUTPUT,OUTPUT_TABLE_ID,Output ID,C,8,P, , , , , , , ,.
OUTPUT,OUTPUT_ROLE,Output data role,C,80,P, , , , , , , ,.
OUTPUT,TABLE_PREFIX,Prefix of output table name,C,8, , , , , , , , ,.
OUTPUT,WITH_RETURN,Select data from input dataset with or without return,C,1, , , , , ,N, , ,.
OUTPUT,DATA_PCT,Percent of input data used to create output table,N,8, , , , , , , ,.,.
OUTPUT,BTS_ID,Reference to the Bootstrap table,C,8, , , , , , , , ,.
EXPERIMENT,EXP_ID,Experiment ID,C,8,P, , , , , , , ,.
EXPERIMENT,FEATURE_ID,Reference to the primary key of the Features table,C,8, , , , , , , , ,.
EXPERIMENT,METHOD_ID,Reference to the primary key of the ML_Method table,C,8, , , , , , , , ,.
EXPERIMENT,METRIC_ID,Reference to the primary key of the Metrics table,C,8, , , , , , , , ,.
EXPERIMENT,DESIGN,Type of design of experiment,C,4, , , , , , , , ,.
EXPERIMENT,MODEL,Type of model of possible effects of factors on response,C,8, , , , , , , , ,.
FEATURES,FEATURE_ID,Features set ID,C,8,P, , , , , , , ,.
FEATURES,OUTPUT_TABLE_ID,Reference to the primary key of the Output table of input component data dictionary,C,8,P, , , , , , , ,.
FEATURES,OUTPUT_ROLE,Reference to the primary key of the Output table,C,80,P, , , , , , , ,.
FEATURES,VAR _NAME,Variable name from the output table,C,1,P, , , , , , , ,.
METRICS,METRIC_ID,Metric ID,C,8,P, , , , , , , ,.
METRICS,SID,Sequential number,C,8,P, , , , , , , ,.
METRICS,METRIC,Metric name,C,8, , , , , , , , ,.
METRICS,MIN_CUTOFF,Minimum cutoff value for a metric,N,8, , , , , , , ,.,.
METRICS,MAX_CUTOFF,Maximum cutoff value for a metric,N,8, , , , , , , ,.,.
ML_METHOD,METHOD_ID,Machine learning method ID,C,8,P, , , , , , , ,.
ML_METHOD,METHOD_NAME,Machine learning method name,C,8,P, , , , , , , ,.
ML_METHOD,KERNEL,Kernel transformation name,C,8,P, , , , , , , ,.
ML_METHOD,PAR_NAME,Reference to the Hyperparameters_Domain table,C,8,P, , , , , , , ,.
ML_METHOD,MIN_VALUE,Minimum value of hyperparameter,N,8, , , , , , , ,.,.
ML_METHOD,MAX_VALUE,Maximum value of hyperparameter,N,8, , , , , , , ,.,.
ML_METHOD,LEVELS,Number of levels for values of hyperparameters,N,8, , , , , , , ,.,.
HYPERPARAMETERS_DOMAIN,METHOD_NAME,ML method name,C,8,P, , , , , , , ,.
HYPERPARAMETERS_DOMAIN,KERNEL,Kernel name,C,8,P, , , , , , , ,.
HYPERPARAMETERS_DOMAIN,PAR_NAME,Hyperparameter name,C,8,P, , , , , , , ,.
HYPERPARAMETERS_DOMAIN,VALUE_TYPE,Value type: I(nteger) C(continues),C,1, , , , , , , , ,.
HYPERPARAMETERS_DOMAIN,UPPER_VALUE,Highest possible value of the hyperparameter,N,8, , , , , , , ,.,.
HYPERPARAMETERS_DOMAIN,LOWER_VALUE,Lowest possible value of the hyperparameter,N,8, , , , , , , ,.,.
RESULTS,EXP_ID,Experiment ID,C,8,P, , , , , , , ,.
RESULTS,SID,Sequential number ID,N,8,P, , , , , , ,.,.
RESULTS,FEATUIRE_ID,Feature ID,C,8, , , , , , , , ,.
RESULTS,RESULT_METRIC_ID,Result metric ID,C,8, , , , , , , , ,.
RESULTS,METHOD_NAME,ML method,C,8, , , , , , , , ,.
RESULTS,KERNEL,Kernel name,C,8, , , , , , , , ,.
RESULTS,PAR_NAME,Hyperparameter name,C,8, , , , , , , , ,.
RESULTS,LEVEL_VALUE,Optimal level for hyperparameter,N,8, , , , , , , ,.,.
RESULTS_METRICS,RESULT_METRIC_ID,Result metric ID,C,8,P, , , , , , , ,.
RESULTS_METRICS,METRIC_ID,Metric ID,C,8,P, , , , , , , ,.
RESULTS_METRICS,METRIC_SID,Sequential number ,N,8,P, , , , , , ,.,.
RESULTS_METRICS,METRIC_VALUE,Result metric value,N,8, , , , , , , ,.,.
CONTAMINATION,CONT_ID,Contamination ID,C,8,P, , , , , , , ,.
CONTAMINATION,EXP_ID,Reference to Design of Experiment for ML,C,8,P, , , , , , , ,.
CONTAMINATION,METRIC_ID,Reference to Metric table ,C,8, , , , , , , , ,.
CONT_EXPERIMENT,CONT_ID,Contamination ID,C,8,P, , , , , , , ,.
CONT_EXPERIMENT,SID,Sequential number,N,8,P, , , , , , ,.,.
CONT_EXPERIMENT,PCT_CONT_0,Percent of contamination of labels for 0,N,8, , , , , , , ,.,.
CONT_EXPERIMENT,PCT_CONT_1,Percent of contamination of labels for 1,N,8, , , , , , , ,.,.
CONT_RESULTS,CONT_ID,Contamination ID,C,8,P, , , , , , , ,.
CONT_RESULTS,EXP_ID,Reference to the Results table,C,8,P, , , , , , , ,.
CONT_RESULTS,EXP_SID,Reference to the Results table,C,8,P, , , , , , , ,.
CONT_RESULTS,CONT_SID,Sequential number of contamination,C,8,P, , , , , , , ,.
CONT_RESULTS,CONT_METRIC_ID,Contamination Metric ID,C,4, , , , , , , , ,.
CONT_METRIC,CONT_METRIC_ID,Contamination Metric ID,C,8,P, , , , , , , ,.
CONT_METRIC,METRIC_ID,Reference to Metric table ,C,8,P, , , , , , , ,.
CONT_METRIC,METRIC_SID,Sequential number for METRIC_ID,C,8,P, , , , , , , ,.
CONT_METRIC,METRIC_VALUE,Value of specified metric,N,8, , , , , , , ,.,.
INSURANCE_DATA,SID,Record ID,Text,23,P, , , , , , , ,
INSURANCE_DATA,POLICY_TYPE,New or Renewal,Text,7, , , , , , , , ,
INSURANCE_DATA,ISWON,Bound Label ,Number,8, , , , , , , , ,
INSURANCE_DATA,UNDERWRITER,Underwriter ID,Text,18, , , , , , , , ,
INSURANCE_DATA,STATE,State,Text,14, , , , , , , , ,
INSURANCE_DATA,INDUSTRY,Industry,Text,23, , , , , , , , ,
INSURANCE_DATA,DECLINED_REASON,Reason to Decline,Text,38, , , , , , , , ,
INSURANCE_DATA,EFFECTIVE_MONTH,Policy Effective Month,Text,3, , , , , , , , ,
INSURANCE_DATA,EMPLOYEES,Number of employees,Number,8, , , , , , , , ,
INSURANCE_DATA,EFFECTIVE_YEAR,Policy Effective Year,Number,8, , , , , , , , ,
INSURANCE_DATA,MARKET_SEGMENT,Market Segment,Text,23, , , , , , , , ,
INSURANCE_DATA,PLACING_BROKER,Broker ID,Text,18, , , , , , , , ,
INSURANCE_DATA,POLICY_LIMIT,Policy Limit,Number,8, , , , , , , , ,
INSURANCE_DATA,COVERAGE,Policy Coverage,Text,84, , , , , , , , ,
INSURANCE_DATA,DEDUCTIBLE,Deductible,Number,8, , , , , , , , ,
INSURANCE_DATA,PREMIUM,Premium,Number,8, , , , , , , , ,
INSURANCE_DATA,APPLICATION_DATE,Application Date,Number,8, , , , , , , , ,
INSURANCE_DATA,BOUND_DATE,Bound Date,Number,8, , , , , , , , ,
INSURANCE_DATA,EXPIRING_PREMIUM,Premium of Expiring Policy,Number,8, , , , , , , , ,
INSURANCE_DATA,COMMISSION_PERCENT,Commission Percent,Number,8, , , , , , , , ,
