SID,POLICY_TYPE,ISWON,UNDERWRITER,STATE,INDUSTRY,DECLINED_REASON,EFFECTIVE_MONTH,EMPLOYEES,EFFECTIVE_YEAR,MARKET_SEGMENT,PLACING_BROKER,POLICY_LIMIT,COVERAGE,DEDUCTIBLE,PREMIUM,APPLICATION_DATE,BOUND_DATE,EXPIRING_PREMIUM,COMMISSION_PERCENT
SD-NRG-PHL-16-666363,New,0,005E000000679SYIAY,VA,Agriculture,Incomplete Submission,Sep,14,2016,Small Business,a0kE0000001dLYhIAM,0,Workers Comp,0,0,9/1/2016,,,
SD-GCS-LA-15-566436,New,0,005E0000003XUfIIAW,CA,Agriculture,NULL,Nov,21350,2015,Corporate Accounts,a0kE0000001dKrQIAU,1000000,Workers Comp,500000,204137,9/11/2015,,,
SD-EIL-COL-15-586626,Renewal,1,005E0000003XyX8IAK,CA,Agriculture,NULL,Feb,2,2016,Small Business,a0kE0000003k9nSIAQ,1000000,Workers Comp,0,49726,12/1/2015,2/26/2016,45809,7
SD-EIL-HOU-15-586766,New,0,005E0000003XUbiIAG,TX,Agriculture,Nature of Insured's Business,Feb,6,2016,Small Business,a0kE0000001dKmoIAE,0,Workers Comp,0,0,12/1/2015,,,
SD-GCS-LA-15-566624,New,0,005E0000003XUfIIAW,CA,Agriculture,Other Underwriting Guidelines,Nov,21350,2015,Corporate Accounts,a0kE0000001dKrQIAU,0,Workers Comp,0,0,9/14/2015,,,
SD-GCS-LA-15-568664,New,0,005E00000068NtMIAU,CA,Agriculture,Other Underwriting Guidelines,Nov,1882,2015,NULL,a0kE0000001dKnOIAU,0,Workers Comp,0,0,9/21/2015,,,
SD-GCS-LA-15-574374,New,0,005E0000003XUasIAG,CA,Agriculture,Other Underwriting Guidelines,Jan,12000,2016,NULL,a0kE0000001dKiJIAU,0,Workers Comp,0,0,10/13/2015,,,
SD-GCS-LA-15-568663,New,0,005E00000068NtMIAU,CA,Agriculture,Other Underwriting Guidelines,Nov,1882,2015,NULL,a0kE0000001dKnOIAU,0,Workers Comp,0,0,9/21/2015,,,
SD-GCS-LA-16-1022860,Renewal,0,005E00000068NtMIAU,MD,Agriculture,NULL,Mar,2,2017,Small Business,a0kE0000001dKsPIAU,0,Workers Comp,0,0,12/1/2016,,668600,
SD-GCS-LA-16-1022861,Renewal,0,005E00000068NtMIAU,MD,Agriculture,NULL,Mar,2,2017,Small Business,a0kE0000001dKsPIAU,0,Workers Comp,0,0,12/1/2016,,106134,
SD-GCS-LA-16-1022915,Renewal,0,005E00000068NtMIAU,MD,Agriculture,NULL,Mar,2,2017,Small Business,a0kE0000001dKsPIAU,0,Workers Comp,0,0,12/1/2016,,540805,
GCS-CH-8212012-306825,New,0,005E0000003XUdRIAW,CO,Agriculture,Other Underwriting Guidelines,Oct,25,2012,Small Business,a0kE0000001dKkFIAU,0,Workers Comp,0,0,6/27/2013,,,
NRG-HO-1152012-327794,New,0,005E0000003XUaqIAG,LA,Agriculture,Reservation Conflict,Jan,6,2013,Small Business,a0kE0000001dKu7IAE,0,Workers Comp,0,0,6/27/2013,,,
NRG-LA-1112012-326726,Renewal,0,005E0000003XUaLIAW,CA,Agriculture,Other Underwriting Guidelines,Nov,200,2012,Middle Market,a0kE0000001dM96IAE,0,Workers Comp,0,0,6/27/2013,,629555,7
NRG-LA-4112012-269197,New,0,005E0000003XUaLIAW,AR,Agriculture,Other Underwriting Guidelines,Jul,20,2012,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,0,6/27/2013,,,
EIL-CH-872012-303182,New,0,005E0000003XUb1IAG,KS,Agriculture,Nature of Insured's Business,Sep,3,2012,NULL,a0kE0000001dKsBIAU,0,Workers Comp,0,0,6/27/2013,,,
EIL-HO-3202012-261698,New,0,005E0000003XUbNIAW,GA,Agriculture,Other Underwriting Guidelines,Apr,20,2012,NULL,a0kE0000001dLJVIA2,0,Workers Comp,0,0,6/27/2013,,,
EIL-HO-8102011-202269,New,0,005E0000003XUbNIAW,TX,Agriculture,Reservation Conflict,Aug,50,2011,Middle Market,a0kE0000001dLZXIA2,0,Workers Comp,0,0,6/27/2013,,,
EIL-NY-10262012-325661,New,0,005E0000003XUb2IAG,PA,Agriculture,Nature of Insured's Business,Nov,37,2012,Small Business,a0kE0000001dKkrIAE,0,Workers Comp,0,0,6/27/2013,,,
NRG-HO-3162012-260841,New,0,005E0000003XUcgIAG,TX,Agriculture,Unable to Match Competitors,Jun,45,2012,Small Business,a0kE0000001dL0SIAU,0,Workers Comp,0,0,6/27/2013,,,
EIL-HO-1152012-327936,New,0,005E0000003XUbNIAW,LA,Agriculture,Reservation Conflict,Jan,6,2013,Small Business,a0kE0000001dL3YIAU,0,Workers Comp,0,0,6/27/2013,,,
NRG-LA-7312012-301099,Renewal,1,005E0000003XUaLIAW,CA,Agriculture,NULL,Nov,200,2012,Middle Market,a0kE0000001dLCBIA2,10000,Workers Comp,0,634468,6/27/2013,10/31/2012,629555,7
GCS-LA-3162012-260902,New,0,005E0000003XUasIAG,TN,Agriculture,Other Underwriting Guidelines,Apr,0,2012,NULL,a0kE0000001dLrlIAE,0,Workers Comp,0,0,6/27/2013,,,
EIL-LA-1122012-327649,New,0,005E0000003XUblIAG,LA,Agriculture,Other Underwriting Guidelines,Jan,6,2013,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,0,6/27/2013,,,
EIL-HO-11272012-333312,New,0,005E0000003XUbNIAW,LA,Agriculture,Reservation Conflict,Jan,6,2013,Small Business,a0kE0000001dLZXIA2,0,Workers Comp,0,0,6/27/2013,,,
NRG-HO-6262012-290676,New,0,005E0000003XUcPIAW,TX,Agriculture,Other Underwriting Guidelines,Aug,190,2012,NULL,a0kE0000001dKlIIAU,0,Workers Comp,0,0,6/27/2013,,,
EIL-CH-822012-301958,New,0,005E0000003XUb1IAG,MI,Agriculture,Other Underwriting Guidelines,Jul,200,2012,Middle Market,a0kE0000001dKmfIAE,0,Workers Comp,0,0,6/27/2013,,,
GCS-AT-5302012-283105,New,0,005E0000003XUbaIAG,AL,Agriculture,Reservation Conflict,Jul,900,2012,Middle Market,a0kE0000001dKjRIAU,0,Workers Comp,0,0,6/27/2013,,,
EIL-HO-1172012-328612,New,0,005E0000003XUbNIAW,SC,Agriculture,Other Underwriting Guidelines,Dec,240,2012,Middle Market,a0kE0000001dKmoIAE,0,Workers Comp,0,0,6/27/2013,,,
NRG-HO-192012-240668,New,0,005E0000003XUcPIAW,TX,Agriculture,Not Suitable,Feb,1500,2012,Middle Market,a0kE0000001dLUPIA2,0,Workers Comp,0,0,6/27/2013,,,
EIL-LA-582012-277207,New,0,005E0000003XUblIAG,DE,Agriculture,No Broker Response,Jun,60,2012,Small Business,a0kE0000001dLlYIAU,0,Workers Comp,0,19132,6/27/2013,,,5
NRG-CH-11132011-227577,New,0,005E0000003XUbtIAG,PA,Agriculture,No Broker Response,Dec,491,2011,Middle Market,a0kE0000001dL0rIAE,0,Workers Comp,0,0,6/27/2013,,,
GCS-NY-6252012-290193,New,0,005E0000003XUaRIAW,NY,Agriculture,Loss History,Jul,2,2012,Small Business,a0kE0000001iIiUIAU,0,Workers Comp,0,0,6/27/2013,,,
NRG-LA-6282012-291856,New,0,005E0000003XUaLIAW,CO,Agriculture,Insured did not Purchase/Renew,Jun,24,2012,Small Business,a0kE0000001dKo8IAE,0,Workers Comp,0,270983,6/27/2013,,,7
NRG-PA-1252012-245272,New,0,005E0000003XUbFIAW,ME,Agriculture,Reservation Conflict,Mar,400,2012,Middle Market,a0kE0000001dLCjIAM,0,Workers Comp,0,0,6/27/2013,,,
NRG-LA-1172013-347931,New,0,005E0000003XUaLIAW,LA,Agriculture,Reservation Conflict,Feb,68,2013,Middle Market,a0kE0000001dLCBIA2,0,Workers Comp,0,0,6/27/2013,,,
NRG-NY-1262012-245563,New,0,005E0000003XUczIAG,ME,Agriculture,Reservation Conflict,Mar,400,2012,Middle Market,a0kE0000001dLCjIAM,0,Workers Comp,0,0,6/27/2013,,,
NRG-NY-11282012-333756,New,0,005E0000003XUb5IAG,LA,Agriculture,Reservation Conflict,Jan,6,2013,Small Business,a0kE0000001dL6GIAU,0,Workers Comp,0,0,6/27/2013,,,
NRG-AT-12272012-341900,New,0,005E0000003XUd7IAG,LA,Agriculture,Price,Mar,68,2013,Middle Market,a0kE0000001dKkrIAE,0,Workers Comp,0,215134,6/27/2013,,,7.5
NRG-AT-12172012-339155,New,0,005E0000003XUd7IAG,AL,Agriculture,Unable to Match Competitors,Feb,100,2013,Middle Market,a0kE0000001dKjCIAU,0,Workers Comp,0,0,6/27/2013,,,
NRG-LA-132013-343489,New,0,005E0000003XUaLIAW,CA,Agriculture,Broker Lost Control,Jan,6,2013,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,168046,6/27/2013,,,7
NRG-AT-5182012-280183,New,0,005E0000003XUd7IAG,AL,Agriculture,Loss History,Jul,900,2012,Middle Market,a0kE0000001dKjCIAU,0,Workers Comp,0,0,6/27/2013,,,
NRG-AT-1162013-347417,New,0,005E0000003XUd7IAG,TN,Agriculture,Unable to Match Competitors,Mar,50,2013,Small Business,a0kE0000001dKjCIAU,0,Workers Comp,0,0,6/27/2013,,,
GCS-CH-1022012-318341,New,0,005E0000003XUdRIAW,TX,Agriculture,Below Minimum Premium,Nov,7,2012,Small Business,a0kE0000001dM96IAE,0,Workers Comp,0,0,6/27/2013,,,
EIL-HO-1172013-347864,New,0,005E0000003XUbNIAW,LA,Agriculture,Reservation Conflict,Jan,6,2013,Small Business,a0kE0000001dL0SIAU,0,Workers Comp,0,0,6/27/2013,,,
SD-NRG-LA-13-280444,Renewal,0,005E0000003XUaLIAW,CA,Agriculture,NULL,Aug,7,2013,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,0,8/8/2013,,180298,7
SD-EIL-HOU-15-479700,New,0,005E0000003XUbNIAW,TX,Agriculture,Nature of Insured's Business,Apr,35,2015,Small Business,a0kE00000048B6CIAU,0,Workers Comp,0,0,2/5/2015,,,
SD-EIL-LA-13-269644,New,0,005E0000003XUblIAG,TX,Agriculture,Auto Close Out,Sep,50,2013,Middle Market,a0kE0000001dL3YIAU,0,Workers Comp,0,0,7/15/2013,,,
SD-EIL-CHG-13-269762,New,0,005E0000003YmT2IAK,MI,Agriculture,Insufficient Information,Aug,1,2013,Small Business,a0kE0000001dM3BIAU,0,Workers Comp,0,0,7/16/2013,,,
NRG-AT-1162013-347429,New,0,005E0000003XUd7IAG,SC,Agriculture,Unable to Match Competitors,Mar,9,2013,Small Business,a0kE0000001dKjCIAU,0,Workers Comp,0,0,6/27/2013,,,
SD-NRG-HOU-13-268568,New,0,005E0000003XUcgIAG,KY,Agriculture,Auto Close Out,Oct,150,2013,Middle Market,a0kE0000001dKwLIAU,0,Workers Comp,0,0,7/10/2013,,,
EIL-LA-1172013-347617,New,0,005E0000003XUblIAG,VA,Agriculture,Other Underwriting Guidelines,Feb,13,2013,Small Business,a0kE0000001dLJ2IAM,0,Workers Comp,0,0,6/27/2013,,,
GCS-NY-532013-381938,New,0,005E0000003XUfIIAW,CA,Agriculture,NULL,Jun,1900,2013,Middle Market,a0kE0000001dLEQIA2,0,Workers Comp,0,2878368,5/4/2013,,,5
SD-NRG-LA-13-121358,Renewal,1,005E0000003XUaLIAW,CA,Agriculture,NULL,Aug,150,2013,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,205646,6/13/2013,7/31/2013,180298,7
SD-GCS-NYC-13-271037,New,0,005E0000003XUhgIAG,CA,Agriculture,Other Underwriting Guidelines,Aug,450,2013,Middle Market,a0kE0000001dLBuIAM,0,Workers Comp,0,0,7/22/2013,,,
SD-GCS-LA-13-288499,New,0,005E0000003XUfIIAW,DE,Agriculture,No Broker Response,Sep,1230,2013,Middle Market,a0kE0000001dKxsIAE,0,Workers Comp,0,0,8/30/2013,,,
SD-EIL-NYC-13-291123,New,0,005E0000003XUbMIAW,PA,Agriculture,Nature of Insured's Business,Nov,37,2013,Small Business,a0kE0000001dKyCIAU,0,Workers Comp,0,0,9/10/2013,,,
SD-NRG-LA-13-296935,New,0,005E0000003XUaLIAW,LA,Agriculture,Reservation Conflict,Jan,6,2014,Small Business,a0kE0000001dLCBIA2,0,Workers Comp,0,0,9/26/2013,,,
SD-EIL-HOU-13-298313,New,0,005E0000003XUbNIAW,LA,Agriculture,Unable to Match Competitors,Jan,6,2014,Small Business,a0kE0000001wJ7VIAU,0,Workers Comp,0,0,9/27/2013,,,
SD-NRG-LA-13-293225,Renewal,1,005E0000003XUaLIAW,CA,Agriculture,NULL,Nov,200,2013,Middle Market,a0kE0000001dLCBIA2,0,Workers Comp,0,782025,9/13/2013,10/23/2013,,7
SD-EIL-CHG-13-295626,New,0,005E0000003XUhlIAG,PA,Agriculture,Reservation Conflict,Nov,37,2013,Small Business,a0kE0000001dKjBIAU,0,Workers Comp,0,0,9/20/2013,,,
SD-EIL-HOU-13-297032,New,0,005E0000003XUbNIAW,LA,Agriculture,Reservation Conflict,Jan,6,2014,Small Business,a0kE0000001dL3YIAU,0,Workers Comp,0,0,9/26/2013,,,
SD-EIL-LA-13-115142,New,1,005E0000003XUblIAG,DE,Agriculture,NULL,Jun,60,2013,Middle Market,a0kE0000001dM20IAE,0,Workers Comp,0,20694,5/21/2013,6/15/2013,,5
SD-EIL-HOU-13-290233,New,0,005E0000003XUbNIAW,IL,Agriculture,Nature of Insured's Business,Oct,1,2013,Small Business,a0kE0000001dLNrIAM,0,Workers Comp,0,0,9/5/2013,,,
SD-NRG-HOU-15-480284,New,0,005E00000047yObIAI,TX,Agriculture,Not Suitable,Apr,21,2015,NULL,a0kE0000001dL5rIAE,0,Workers Comp,0,0,2/9/2015,,,
SD-EIL-LA-15-493949,Renewal,0,005E0000003Y2B6IAK,DE,Agriculture,NULL,Jun,60,2015,Small Business,a0kE0000001dM20IAE,0,Workers Comp,0,0,3/17/2015,,21775,7
SD-EIL-COL-15-479328,Renewal,1,005E0000003XyX8IAK,CA,Agriculture,NULL,Feb,2,2015,Small Business,a0kE0000003k9nSIAQ,1000000,Workers Comp,0,45809,2/4/2015,2/27/2015,46206,7
SD-PCC-CHG-13-322254,New,0,005E00000046i3IIAQ,CA,Agriculture,Nature of Insured's Business,Jan,130,2014,Small Business,a0kE0000001dL9QIAU,0,Workers Comp,0,0,11/15/2013,,,
SD-GCS-CHG-15-483284,New,1,005E0000003XUdRIAW,MO,Agriculture,NULL,May,150,2015,Middle Market,a0kE0000001dL0rIAE,1000000,Workers Comp,0,229762,2/19/2015,5/28/2015,,
SD-GCS-LA-15-484112,New,1,005E0000003XUasIAG,MD,Agriculture,NULL,Apr,2,2015,Small Business,a0kE0000001dLwmIAE,1000000,Workers Comp,250000,1472125,2/23/2015,4/24/2015,,
SD-EIL-LA-15-547478,New,0,005E00000066wTeIAI,TX,Agriculture,No Broker Response,Sep,50,2015,Middle Market,a0kE0000001dL3YIAU,0,Workers Comp,0,0,7/10/2015,,,
SD-EIL-HOU-15-547541,New,0,005E0000003XUbNIAW,TX,Agriculture,Nature of Insured's Business,Aug,6,2015,NULL,a0kE0000001dLieIAE,0,Workers Comp,0,0,7/10/2015,,,
SD-PCC-CHG-15-549668,New,0,005E00000046i3IIAQ,NY,Agriculture,NULL,Jul,120,2015,NULL,a0kE0000001dLDSIA2,0,Workers Comp,0,0,7/20/2015,,,
SD-GCS-PHL-15-556898,New,0,005E00000067rCUIAY,MO,Agriculture,Insufficient Information,Sep,1808,2015,NULL,a0kE0000001dLDSIA2,0,Workers Comp,0,0,8/13/2015,,,
SD-PCC-SCT-15-548821,New,0,005E00000046i3IIAQ,CA,Agriculture,NULL,Sep,35,2015,NULL,a0kE0000001dKnYIAU,0,Workers Comp,0,0,7/15/2015,,,
SD-PCC-CHG-15-583693,New,0,005E00000067lzSIAQ,CA,Agriculture,NULL,Jan,120,2016,Middle Market,a0kE0000001dLNrIAM,0,Workers Comp,0,0,11/16/2015,,,
SD-PCC-CHG-15-478408,New,0,005E00000046i3IIAQ,CA,Agriculture,Financial,Mar,60,2015,NULL,a0kE0000001dM7ZIAU,0,Workers Comp,0,0,1/30/2015,,,
SD-EIL-BOS-15-562986,New,0,005E00000067ZMPIA2,CT,Agriculture,NULL,Sep,29,2015,NULL,a0kE0000001dL2VIAU,0,Workers Comp,0,0,9/2/2015,,,
SD-NRG-CHG-15-561175,New,0,005E00000068E4pIAE,IA,Agriculture,Below Minimum Premium,Oct,25,2015,NULL,a0kE0000001dLWAIA2,1000000,Workers Comp,0,283925,8/26/2015,,,
